node,turbines
n873,311.0787
n874,621.0119
n875,262.5461
n876,415.8525
n877,246.8244
n878,463.8635
n879,420.0694
n880,470.3049
n881,969.3943
n882,375.6803
n883,650.9693
n884,297.619
n885,1668.4684
n886,652.4986
n887,417.8809
n888,250.7426
n889,376.3319
n890,493.5275
n891,762.4408
n892,626.3007
n893,507.88
n894,664.3339
n895,169.3707
n896,656.8197
n897,418.6799
n898,541.4423
n899,461.0928
n900,340.7899
n901,1201.6408
n902,468.6602
n903,446.2041
n904,385.3778
n905,869.1319
n906,1478.4447
n907,1063.6747
n908,586.3471
n909,562.2832
n910,603.9768
n911,509.3885
n912,479.4271
n913,355.3682
n914,846.7776
n915,434.4227
n916,543.8504
n917,577.8779
n918,779.9072
n919,201.8441
n920,217.0558
n921,1479.6615
n922,511.0005
n923,1486.4742
n924,170.5238
n925,279.3121
n926,543.8541
n927,369.3507
n928,593.2231
n929,848.09
n930,700.046
n931,1128.4606
n932,604.4264
n933,952.8602
n934,341.9293
n935,1189.2056
n936,462.0681
n937,1465.5352
n938,403.5004
n939,232.9482
n940,526.5888
n941,850.2003
n942,855.7039
n943,632.7739
n944,201.9724
n945,449.5935
n946,797.812
n947,369.9346
n948,369.4528
n949,419.0066
n950,468.8615
n951,1566.6596
n952,326.2996
n953,936.6777
n954,391.1806
n955,696.4204
n956,312.7321
n957,1074.2577
n958,310.8409
n959,341.454
n960,484.3245
n961,764.08
n962,604.4239
n963,417.8364
n964,341.9566
n965,358.2599
n966,357.0625
n967,435.7246
n968,249.4765
n969,375.0319
n970,436.95
n971,635.4437
n972,390.3338
n973,560.938
n974,559.3294
n975,633.8662
n976,560.0211
n977,811.0553
n978,542.7001
n979,1156.0981
n980,387.2307
n981,822.8048
n982,591.1822
n983,587.9297
n984,509.8177
n985,295.7027
n986,619.7287
n987,622.0285
n988,776.4646
n989,355.5451
n990,216.5469
n991,262.5006
n992,491.8753
n993,903.6308
n994,469.507
n995,750.7316
n996,770.4811
n997,738.7654
n998,1586.8332
n999,487.2803
n1000,800.5256
n1001,595.8909
n1002,1365.8888
n1003,596.1491
n1004,767.3463
n1005,720.9759
n1006,1523.6216
n1007,1455.7464
n1008,752.429
n1009,1410.4014
n1010,2088.6569
n1011,1490.485
n1012,1034.4739
n1013,1876.3754
n1014,639.8288
n1015,655.7865
n1016,810.543
n1017,1584.6544
n1018,778.1217
n1019,1247.6611
n1020,217.3478
n1021,1846.4429
n1022,846.4068
n1023,512.3797
n1024,809.2399
n1025,1624.334
n1026,548.2778
n1027,1001.7973
n1028,543.6318
n1029,266.177
n1030,1254.5995
n1031,1131.6569
n1032,1235.7408
n1033,1037.7139
n1034,649.3263
n1035,19725.8082
n1036,1255.4029
n1037,2165.6331
n1038,6175.4454
n1039,5708.1692
n1040,1084.8981
n1041,1162.6248
n1042,1180.5663
n1043,1038.2893
n1044,659.2775
n1045,1117.7323
n1046,330.6104
n1047,392.2359
n1048,518.0621
n1049,613.1897
n1050,313.474
n1051,629.6944
n1052,1369.1262
n1053,692.6266
n1054,564.639
n1055,943.6942
n1056,927.25
n1057,377.0066
n1058,455.5072
n1059,1096.6608
n1060,612.2134
n1061,1007.3863
n1062,1352.2177
n1063,1195.6863
n1064,784.1641
n1065,944.2753
n1066,502.479
n1067,643.403
n1068,1692.8745
n1069,1445.4787
n1070,1148.4842
n1071,1839.5706
n1072,816.1245
n1073,1648.5432
n1074,3563.875
n1075,3963.1502
n1076,5604.776
n1077,2134.6512
n1078,1932.3967
n1079,1996.118
n1080,2465.6612
n1081,4506.9907
n1082,3112.4043
n1083,4866.8166
n1084,2295.2777
n1085,2808.8338
n1086,2887.0047
n1087,849.1671
n1088,1571.4845
n1089,2925.8626
n1090,1447.1132
n1091,754.0581
n1092,643.5873
n1093,4011.9608
n1094,3223.841
n1095,754.6834
n1096,1146.0185
n1097,1665.2518
n1098,518.577
n1099,1761.2128
n1100,1146.8956
n1101,1162.0034
n1102,2124.5053
n1103,1227.2374
n1104,2908.1392
n1105,1038.7211
n1106,1242.8423
n1107,1052.3518
n1108,1472.0541
n1109,1192.8834
n1110,1180.4994
n1111,550.7607
n1112,1195.7158
n1113,409.2212
n1114,1288.8446
n1115,1113.3755
n1116,784.6297
n1117,1321.9539
n1118,1410.5194
n1119,1966.6891
n1120,1209.8173
n1121,1999.2743
n1122,1149.147
n1123,943.9424
n1124,3131.2938
n1125,1729.8542
n1126,755.4069
n1127,1210.8512
n1128,1914.7293
n1129,787.1451
n1130,1306.6756
n1131,1069.8633
n1132,991.2964
n1133,582.4202
n1134,911.2737
n1135,629.0106
n1136,551.0474
n1137,802.7941
n1138,425.086
n1139,550.0985
n1140,755.465
n1141,864.8174
n1142,204.6432
n1143,503.1641
n1144,723.8997
n1145,739.3728
n1146,314.8555
n1147,3215.2055
n1148,849.3642
n1149,1417.0175
n1150,236.11
n1151,1275.0902
n1152,722.6209
n1153,393.4285
n1155,550.6459
n1156,833.9414
n1157,283.3931
n1158,1650.7952
n1159,551.0616
n1160,299.0554
n1161,125.9499
n1162,251.8888
n1163,2558.6798
n1164,1069.8978
n1165,488.0696
n1166,188.8822
n1167,912.8102
n1168,440.8064
n1169,456.5132
n1170,1145.8459
n1171,738.9549
n1172,659.7525
n1173,471.5114
n1174,1366.7988
n1175,4659.7813
n1176,1776.362
n1177,1085.1307
n1178,424.5213
n1179,534.4468
n1180,3517.9193
n1181,1681.3485
n1182,1351.9072
n1183,1147.8479
n1184,518.8171
n1185,660.2
n1186,3869.357
n1187,1712.9691
n1188,1492.6574
n1189,3559.7756
n1190,3721.7297
n1191,2936.9388
n1192,3106.8422
n1194,3438.2902
n1195,1287.8129
n1196,1336.0745
n1197,912.8036
n1198,1541.2538
n1199,1164.1937
n1200,471.0532
n1201,503.6718
n1202,314.7109
n1203,456.3852
n1204,455.6494
n1205,471.554
n1206,991.5711
n1207,928.2781
n1208,959.8906
n1209,597.9684
n1210,1494.0449
n1211,818.1396
n1212,912.4574
n1213,802.3042
n1214,865.1592
n1215,818.0191
n1216,629.0926
n1217,597.5433
n1218,817.808
n1219,1082.4937
n1220,705.5602
n1221,955.7632
n1222,829.3639
n1223,970.5549
n1224,1096.6428
n1226,1125.9186
n1227,2855.1894
n1228,2789.3842
n1229,1159.0686
n1230,1551.6926
n1231,2305.8853
n1232,1646.3656
n1233,1533.1268
n1234,3824.3943
n1235,2049.6811
n1236,2139.6989
n1237,4313.3018
n1238,2439.1947
n1239,1250.4348
n1240,1249.6085
n1241,2619.9714
n1242,2450.5609
n1244,2180.3972
n1250,451.7399
n1251,980.4984
n1253,13265.9985
n1254,3311.8512
n1257,14412.8396
n1258,4904.9252
n1259,2534.2336
n1260,1180.0964
n1261,3010.5319
n1262,7512.7915
n1265,4675.8723
n1266,2925.6951
n1267,3470.6193
n1268,1914.7675
n1269,1624.2744
n1270,711.9302
n1271,526.5994
n1272,1606.8576
n1273,4185.3397
n1274,5520.9599
n1275,6373.7996
n1277,3052.4164
n1278,1210.821
n1279,326.4793
n1280,1660.2291
n1281,2000.4032
n1282,1691.4561
n1283,901.2374
n1284,528.7342
n1285,3237.9971
n1286,463.8985
n1287,925.9079
n1288,1444.2566
n1289,2029.8447
n1290,693.5883
n1291,3955.9434
n1292,1207.6606
n1293,418.6425
n1294,605.3168
n1295,1274.7181
n1296,1491.6309
n1297,1396.028
n1298,773.5323
n1299,1353.2067
n1300,1319.5414
n1301,1612.2413
n1302,605.493
n1303,855.356
n1304,326.1964
n1305,590.5212
n1306,1151.1948
n1307,1167.7789
n1308,436.1426
n1309,763.3576
n1310,979.2332
n1311,1647.3606
n1312,2115.3212
n1313,1624.0324
n1314,1022.9107
n1315,217.3142
n1316,697.8066
n1317,341.5934
n1318,372.2577
n1319,201.6421
n1320,356.4484
n1321,805.3011
n1322,557.2098
n1323,1035.5127
n1324,587.1551
n1325,293.3577
n1326,724.6521
n1327,1465.6864
n1328,415.9854
n1329,725.1149
n1330,1019.4705
n1331,850.0166
n1332,865.0349
n1333,1634.3044
n1334,1676.3925
n1335,2115.4163
n1336,2095.4946
n1337,1266.7913
n1338,867.4597
n1339,1088.0209
n1341,2676.5636
n1342,1222.0384
n1343,483.3138
n1344,1263.4735
n1345,999.4334
n1346,936.8947
n1347,1371.7653
n1348,498.6069
n1349,842.3432
n1350,515.0202
n1351,718.4554
n1352,578.205
n1353,406.7334
n1354,563.4289
n1355,1111.7054
n1356,986.9077
n1357,920.02
n1358,1669.3974
n1359,921.4177
n1360,390.8265
n1361,672.4541
n1362,234.5844
n1363,359.833
n1364,234.7332
n1365,438.3045
n1366,344.4703
n1367,877.3
n1368,1940.7383
n1369,1457.2306
n1370,1110.0745
n1371,578.5957
n1372,4228.5199
n1373,404.9474
n1374,233.5121
n1375,1728.8727
n1376,2104.9276
n1377,1419.5721
n1378,1045.4843
n1379,937.0591
n1380,265.9091
n1381,359.6148
n1382,500.5457
n1383,1546.7152
n1384,171.9872
n1385,516.4544
n1386,406.8243
n1387,1158.9585
n1388,563.5516
n1389,3088.2919
n1390,871.7193
n1391,716.7231
n1392,1464.6298
n1393,795.1051
n1394,873.5784
n1395,312.189
n1396,2193.3669
n1397,499.7683
n1398,468.8754
n1400,936.7199
n1401,422.0177
n1402,610.1397
n1403,640.9078
n1404,531.8614
n1405,328.5245
n1406,1159.3522
n1407,1690.5066
n1408,953.0458
n1409,187.5652
n1410,609.4066
n1411,715.8018
n1412,920.0568
n1413,218.1465
n1414,685.7093
n1415,716.0005
n1416,451.047
n1417,776.4068
n1418,1581.3418
n1419,1191.2985
n1420,200.8285
n1421,820.7957
n1422,1738.9356
n1423,4758.6662
n1424,568.7776
n1425,1047.0607
n1426,4204.5041
n1427,614.1692
n1428,276.8539
n1429,646.8452
n1430,1685.2062
n1431,1239.869
n1432,2046.9026
n1433,636.3605
n1434,1104.6956
n1435,1046.1176
n1436,1313.4693
n1437,1548.3662
n1438,1547.8585
n1439,687.4827
n1440,1292.8789
n1441,218.2016
n1442,778.1507
n1443,893.1718
n1444,813.8241
n1445,1245.1154
n1446,1214.1592
n1447,810.1337
n1448,1483.9498
n1449,1077.0619
n1450,985.1084
n1451,233.9755
n1452,499.0236
n1453,685.5387
n1454,747.1399
n1455,404.1258
n1456,1258.9245
n1457,807.2468
n1458,1673.9766
n1459,1361.2205
n1460,864.4441
n1461,1202.9791
n1462,1050.7697
n1463,944.0529
n1464,2131.8475
n1465,651.114
n1466,558.3034
n1467,155.3172
n1468,963.9167
n1469,326.4612
n1470,388.1208
n1471,792.454
n1472,1612.1234
n1473,374.7601
n1474,436.7463
n1475,546.439
n1476,1091.2496
n1477,451.9971
n1478,358.2682
n1479,778.2383
n1480,153.7623
n1481,107.5835
n1482,925.5019
n1483,416.5452
n1484,231.8411
n1485,4887.9935
n1486,788.6766
n1487,679.8435
n1488,991.0369
n1489,3025.8371
n1490,1957.9055
n1491,1042.0592
n1492,467.3692
n1493,452.3584
n1494,1014.5316
n1495,343.3838
n1496,484.1769
n1497,2961.7614
n1498,2597.9585
n1499,2314.8382
n1500,2672.1459
n1502,5897.1349
n1503,4580.2054
n1505,689.4309
n1506,441.492
n1507,184.0102
n1508,987.6935
n1509,16861.6159
n1510,2691.4353
n1511,5339.8178
n1512,306.4717
n1513,3107.8516
n1514,170.1829
