node,cells
n1486,740.2474
n1487,638.0972
n1488,930.1816
n1489,2840.0336
n1490,1837.6791
n1491,978.0709
n1492,438.6701
n1493,424.581
n1494,952.2337
n1495,322.2981
n1496,454.4457
n1497,2779.8926
n1498,2438.4292
n1499,2172.6941
n1500,2508.0611
n1502,1754.5694
n1503,422.1572
n1505,647.096
n1506,357.2835
n1507,172.7109
n1508,927.0436
n1509,129.9228
n1510,613.5675
n1511,1376.541
n1512,287.6526
n1513,2351.5521
n1514,87.1614
