Generator,TotalRevenue,TotalProduction,NumberofS/U,Capacity,MarginalCost,S/Ucost,FixedO&MCost,VarO&MCost,LevelizedCapitalCost,PrimaryFuel
ElstaCCGTPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
SotodeRiberaCCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
PotpecHydroelectricPowerPlantSerbia,0,0,0,0,0,0,0,0,0,0
OvcarBanjaHydroelectricPowerPlantSerbia,0,0,0,0,0,0,0,0,0,0
SaintAlbanNuclearPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
Irsching5CCGTPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
LosBarriosCoalPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
OraisonHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
IRIDEMoncalieriCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
Awirs4and5thermalPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
EnelMarzoccoOilPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
PatnowCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
ENELGalileoFerraris(Trino)CCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
TisovaCHPCoalPowerPlantCzech,0,0,0,0,0,0,0,0,0,0
MesochoraHydroelectricPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
BrzegDolny(WalySlaskie)HydroelectricPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
TECVloraCCGTPowerPlantAlbania,0,0,0,0,0,0,0,0,0,0
FrimmersdorfCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
PieddeBorneHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
EdipowerSermideCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
DelMincioCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
OoHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
MaduniceHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
LagiszaIISupercriticalCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
BortLesOrguesHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
CurbansHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
KozieniceCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
TrebinjeIHydroelectricPowerPlantBosniaandHerzegovina,0,0,0,0,0,0,0,0,0,0
MariseluHydroelectricPowerStationRomania,0,0,0,0,0,0,0,0,0,0
Kolbnitz(Reisseck/Kreuzeck)HydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
OpoleCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
WaldeckIIPumpedStoragePowerPlantGermany,0,0,0,0,0,0,0,0,0,0
CastelodoBodeHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
HuckingenThermalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
DuernrohrCHPPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
ENELBrindisiSud(FedericoII)CoalPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
ENELPietrafittaCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
EdFLeHavreCoalPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
CivauxNuclearPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
LadaCoalPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
EntracqueChiotasPiastraPumpedStoragePowerPlantItaly,0,0,0,0,0,0,0,0,0,0
A2AMonfalconeCoalPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
DevinHydroelectricPowerPlantBulgaria,0,0,0,0,0,0,0,0,0,0
KiskoreHydroelectricPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
MouxCharminesHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
KostolacBCoalPowerPlantSerbia,0,0,0,0,0,0,0,0,0,0
Innertkirchen1HydroelectricPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
PorchevilleIIThermalPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
PilchowiceHydroelectricPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
Scholven(Gelsenkirchen)CoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
CordemaisThermalPowerStationFrance,0,0,0,0,0,0,0,0,0,0
NiederaussemCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
CruasNuclearPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
FeistritzLudmannsdorfHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
RichemontCombustionGasPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
BicazStejaruHydroelectricPowerStationRomania,0,0,0,0,0,0,0,0,0,0
Innertkirchen2HydroelectricPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
DalkiaLodzEC4CHPPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
RovinariCoalPowerStationRomania,0,0,0,0,0,0,0,0,0,0
TirrenoPowerTorrevaldaligaSouthThermalPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
IJmondCHPPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
SantAdria(Besos)CCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
OroszlanyCHPCoalPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
EscuchaCoalPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
ZollingCoalCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
CrestumaLeverHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
KrupaHydroelectricPowerPlantBosniaandHerzegovina,0,0,0,0,0,0,0,0,0,0
IvaylovgradHydroelectricPowerPlantBulgaria,0,0,0,0,0,0,0,0,0,0
RuienThermalPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
ServolaCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
GustavKnepperCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
WerndorfNeudorfCHPPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
CambeyracHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
RevinHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
SenjHydroelectricPowerSystemCroatiaCroatia,0,0,0,0,0,0,0,0,0,0
E.ONEscatronCCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
SinesCoalPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
RoseggSt.JakobHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
WestfalenCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
FessenheimNuclearPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
SinesCogenOCGTPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
OrluHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
TalarnHydroelectricPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
ZvornikHydroelectricPowerPlantSerbia,0,0,0,0,0,0,0,0,0,0
LeviceCCGTCHPPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
StechoviceIIPSHydroelectricPowerPlantCzechRepublic,0,0,0,0,0,0,0,0,0,0
RhinauHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
CizeBolozonHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
MellachCHPPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
MauvoisinHydroelectricPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
PlominThermalPowerPlantCroatia,0,0,0,0,0,0,0,0,0,0
VinodolHydroelectricPowerSystemCroatiaCroatia,0,0,0,0,0,0,0,0,0,0
AESTiszaIIThermalPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
MerwedekanaalCHPPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
BeaucaireHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
PeshteraHydroelectricPowerPlantBulgaria,0,0,0,0,0,0,0,0,0,0
L'AigleHydroelectricGeneratingStationFrance,0,0,0,0,0,0,0,0,0,0
ArrubalCCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
StignaesCoalCHPPowerPlantDenmark,0,0,0,0,0,0,0,0,0,0
NeckarwestheimNuclearPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
BistriceIHydroelectricPowerStationAlbania,0,0,0,0,0,0,0,0,0,0
PhenixNuclearPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
MaltaHaupstufe(Rottau)PumpedStoragePowerPlantAustria,0,0,0,0,0,0,0,0,0,0
ErzhausenPumpedStoragePowerPlantGermany,0,0,0,0,0,0,0,0,0,0
GreifensteinHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
Weiher3(Quierschied)CHPCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
Cartagena(EscombrerasGN)CCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
ChateauneufDuRhoneHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
GalatiThermalPowerStationRomania,0,0,0,0,0,0,0,0,0,0
KosovoBCoalPowerPlantKosovo,0,0,0,0,0,0,0,0,0,0
Castejon2IberdrolaCCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
QuinsonHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
BrensViriginHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
WaldeckIPumpedStoragePowerPlantGermany,0,0,0,0,0,0,0,0,0,0
SfikiaHydroelectricPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
Moerdijk2CCGTPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
ClausApowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
ENELGenoaCoalPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
LiterOCGTPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
LorenciOCGTPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
